PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000049239.12.wgt.RDat	ENSG00000049239.12	1	9234774	9234775	0.3267	rs2268169	 -3.062	rs11121350	 0.136713	 -6.25	 1.7200	429	  4	lasso	0.18	3e-12	 -1.56531	1.18e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000171603.16.wgt.RDat	ENSG00000171603.16	1	9824525	9824526	0.2232	rs10864436	  3.655	rs1615629	 0.169981	 -6.94	 3.4561	309	  1	top1	0.17	1.3e-11	 -3.45614	5.48e-04
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000178585.14.wgt.RDat	ENSG00000178585.14	1	9910335	9910336	0.1969	rs10864436	  3.655	rs4423053	-0.000248	 -3.17	-0.9070	298	298	susie	0.013	0.042	  2.11018	3.48e-02
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000054523.17.wgt.RDat	ENSG00000054523.17	1	10210804	10210805	0.0552	rs10864436	  3.655	rs4240911	 0.043316	  4.05	-1.6029	344	  1	top1	0.043	0.00064	 -1.60294	1.09e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000175279.21.wgt.RDat	ENSG00000175279.21	1	10430782	10430783	0.0815	rs7418410	 -3.631	rs2483679	 0.097715	 -5.25	 0.4219	378	  1	top1	0.098	3.9e-07	 -0.42187	6.73e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000160049.11.wgt.RDat	ENSG00000160049.11	1	10472525	10472526	0.0890	rs7418410	 -3.631	rs1307485	 0.056108	 -4.22	-0.0312	396	  1	top1	0.056	0.00011	  0.03125	9.75e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000177674.15.wgt.RDat	ENSG00000177674.15	1	11736083	11736084	0.2178	rs2744815	 -3.944	rs6661776	 0.122157	  6.41	-0.5652	481	 11	enet	0.17	2.4e-11	 -0.55613	5.78e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000177000.10.wgt.RDat	ENSG00000177000.10	1	11806919	11806920	0.2248	rs2335767	  3.429	rs1476413	 0.107828	  5.75	-1.2917	478	  1	top1	0.11	9.7e-08	 -1.29167	1.96e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000242349.5.wgt.RDat	ENSG00000242349.5	1	11843703	11843704	0.4340	rs2335767	  3.429	rs5067	 0.249581	 -8.78	-1.2292	474	 22	enet	0.3	8.4e-21	  1.32083	1.87e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000175147.11.wgt.RDat	ENSG00000175147.11	1	15152463	15152464	0.1517	rs6697813	  3.592	rs7515649	 0.024903	 -3.99	 2.3457	556	  1	top1	0.025	0.0079	 -2.34568	1.90e-02
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000142621.19.wgt.RDat	ENSG00000142621.19	1	15247271	15247272	0.3133	rs6697813	  3.592	rs4661617	 0.124275	  6.30	 0.0441	551	551	susie	0.14	7.5e-10	  0.85442	3.93e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000162438.11.wgt.RDat	ENSG00000162438.11	1	15438438	15438439	0.2575	rs6697813	  3.592	rs16851653	 0.022509	 -5.19	 1.5238	517	  7	lasso	0.16	6.9e-11	 -0.73402	4.63e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000132906.17.wgt.RDat	ENSG00000132906.17	1	15526533	15526534	0.0874	rs6697813	  3.592	rs1862710	 0.104867	 -5.34	-0.8594	505	  1	top1	0.1	1.5e-07	  0.85938	3.90e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000116771.5.wgt.RDat	ENSG00000116771.5	1	15585109	15585110	0.2610	rs6697813	  3.592	rs1862710	 0.208196	  7.98	-0.8594	497	497	susie	0.23	2.6e-15	 -0.92509	3.55e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000197312.11.wgt.RDat	ENSG00000197312.11	1	15617499	15617500	0.1176	rs6697813	  3.592	rs4661603	-0.003893	  3.42	 0.0270	479	 41	enet	0.037	0.0015	 -0.81431	4.15e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000179743.4.wgt.RDat	ENSG00000179743.4	1	15836905	15836906	0.2330	rs6697813	  3.592	rs4661661	 0.054686	  5.06	 1.7423	423	423	susie	0.058	8.5e-05	  1.81209	7.00e-02
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000186510.11.wgt.RDat	ENSG00000186510.11	1	16018874	16018875	0.1771	rs6697813	  3.592	rs3754322	 0.016050	  3.94	 2.9474	384	 18	enet	0.092	9.3e-07	  2.79849	5.13e-03
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000184908.17.wgt.RDat	ENSG00000184908.17	1	16043735	16043736	0.2647	rs6697813	  3.592	rs6683445	 0.182677	  6.94	 2.2031	376	376	susie	0.21	5.7e-14	  2.22929	2.58e-02
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000185519.8.wgt.RDat	ENSG00000185519.8	1	16073631	16073632	0.4992	rs6697813	  3.592	rs10927902	 0.379531	  9.73	 0.4557	369	369	susie	0.38	4.1e-27	  0.45570	6.49e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000142632.16.wgt.RDat	ENSG00000142632.16	1	16212608	16212609	0.2551	rs1806990	 -3.456	rs221035	 0.028473	  4.91	-0.0685	333	 16	enet	0.14	5.3e-10	  0.30439	7.61e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000237276.8.wgt.RDat	ENSG00000237276.8	1	16228026	16228027	0.1891	rs1806990	 -3.456	rs12119764	 0.135834	  6.23	-1.1765	322	 13	enet	0.15	1.4e-10	 -0.19723	8.44e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000132881.11.wgt.RDat	ENSG00000132881.11	1	16237161	16237162	0.2104	rs1806990	 -3.456	rs6693819	 0.194812	  6.98	 0.2857	316	316	susie	0.2	2.9e-13	  0.07496	9.40e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000037637.10.wgt.RDat	ENSG00000037637.10	1	16352453	16352454	0.1239	rs1763605	 -3.174	rs4291495	 0.128239	  5.76	 2.0000	269	  1	top1	0.13	5.5e-09	  2.00000	4.55e-02
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000080947.14.wgt.RDat	ENSG00000080947.14	1	16499256	16499257	0.1793	rs1763605	 -3.174	rs156908	 0.030276	 -5.06	-2.5373	239	 18	enet	0.064	3.7e-05	  3.35886	7.83e-04
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000261135.1.wgt.RDat	ENSG00000261135.1	1	16514644	16514645	0.1740	rs4661351	 -3.101	rs761423	 0.067734	 -4.55	-0.7812	235	  4	lasso	0.093	7.6e-07	  0.64348	5.20e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000219481.10.wgt.RDat	ENSG00000219481.10	1	16613561	16613562	0.0739	rs156908	 -2.537	rs11260732	-0.003835	  3.13	-1.5921	273	273	susie	0.00084	0.27	 -0.77370	4.39e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000186301.8.wgt.RDat	ENSG00000186301.8	1	16645621	16645622	0.2831	rs156908	 -2.537	rs7513616	 0.126798	  5.74	-0.2923	258	  1	top1	0.13	6.7e-09	 -0.29231	7.70e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000215908.10.wgt.RDat	ENSG00000215908.10	1	16657231	16657232	0.3261	rs156908	 -2.537	rs12745538	 0.018033	  3.96	 0.5909	255	 37	enet	0.036	0.0018	 -0.20487	8.38e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000280114.1.wgt.RDat	ENSG00000280114.1	1	16688748	16688749	0.1479	rs2977265	  2.609	rs7537985	 0.019038	 -4.33	-2.3623	244	 37	enet	0.036	0.0018	  1.76079	7.83e-02
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000268869.5.wgt.RDat	ENSG00000268869.5	1	16720156	16720157	0.2328	rs2977265	  2.609	rs7537985	 0.070901	 -4.98	-2.3623	259	 26	enet	0.1	1.9e-07	  2.43767	1.48e-02
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000186715.10.wgt.RDat	ENSG00000186715.10	1	16770236	16770237	0.2649	rs2977265	  2.609	rs696605	 0.109571	 -5.34	-2.4697	290	290	susie	0.13	8.3e-09	  1.93058	5.35e-02
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000228549.3.wgt.RDat	ENSG00000228549.3	1	16870944	16870945	0.1710	rs2977265	  2.609	rs279788	-0.000727	  3.63	 0.6308	327	327	susie	0.036	0.0018	  0.98458	3.25e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000235241.1.wgt.RDat	ENSG00000235241.1	1	16889094	16889095	0.3559	rs2977265	  2.609	rs2076600	 0.053204	  5.70	 0.5068	338	 26	enet	0.21	3.4e-14	  0.11522	9.08e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000238142.1.wgt.RDat	ENSG00000238142.1	1	16889648	16889649	0.5406	rs2977265	  2.609	rs279788	 0.128291	  5.83	 0.6308	339	 56	enet	0.23	1.5e-15	  0.20297	8.39e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000058453.16.wgt.RDat	ENSG00000058453.16	1	16921949	16921950	0.0923	rs2977265	  2.609	rs2076600	 0.053760	  4.47	 0.5068	351	  1	top1	0.054	0.00016	  0.50685	6.12e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000117122.13.wgt.RDat	ENSG00000117122.13	1	16980834	16980835	0.3806	rs2977265	  2.609	rs2076606	 0.081749	  5.24	 1.4667	344	 26	enet	0.14	1e-09	  0.75982	4.47e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000117115.12.wgt.RDat	ENSG00000117115.12	1	17119434	17119435	0.2527	rs2977265	  2.609	rs2057093	 0.053816	  4.26	-1.3091	383	  1	top1	0.054	0.00016	 -1.30909	1.91e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000179023.8.wgt.RDat	ENSG00000179023.8	1	18480981	18480982	0.4355	rs897496	  2.753	rs2992764	 0.332454	 -9.20	-0.0909	648	648	susie	0.33	3e-23	 -0.03143	9.75e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000169991.10.wgt.RDat	ENSG00000169991.10	1	18956685	18956686	0.2739	rs12137730	 -2.515	rs7537573	 0.083137	  5.43	 0.1642	538	 24	enet	0.15	1.8e-10	 -0.58201	5.61e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000127481.14.wgt.RDat	ENSG00000127481.14	1	19210275	19210276	0.3781	rs12137730	 -2.515	rs10916957	 0.209923	  7.31	-1.0227	511	 21	enet	0.21	2.8e-14	 -0.99334	3.21e-01
